alpha_n,method,time_sec_mean,time_sec_std,instance_gen_sec_mean,instance_gen_sec_std,metric_eval_sec_mean,metric_eval_sec_std,rp_draw_omega_sec_mean,rp_draw_omega_sec_std,rp_power_iter_sec_mean,rp_power_iter_sec_std,rp_qr_sec_mean,rp_qr_sec_std,rp_build_core_sec_mean,rp_build_core_sec_std,rp_reconstruct_sec_mean,rp_reconstruct_sec_std,rp_small_eig_sec_mean,rp_small_eig_sec_std,rp_lift_sec_mean,rp_lift_sec_std,rp_kmeans_sec_mean,rp_kmeans_sec_std,algo_total_sec_mean,algo_total_sec_std,algo_step_sum_sec_mean,algo_step_sum_sec_std,algo_other_sec_mean,algo_other_sec_std,pipeline_total_sec_mean,pipeline_total_sec_std,rs_sample_mask_sec_mean,rs_sample_mask_sec_std,rs_build_sampled_matrix_sec_mean,rs_build_sampled_matrix_sec_std,rs_eig_sec_mean,rs_eig_sec_std,rs_reconstruct_sec_mean,rs_reconstruct_sec_std,rs_symmetrize_sec_mean,rs_symmetrize_sec_std,rs_kmeans_sec_mean,rs_kmeans_sec_std,nr_eig_sec_mean,nr_eig_sec_std,nr_kmeans_sec_mean,nr_kmeans_sec_std,nr_copy_sec_mean,nr_copy_sec_std
0.05,Non-random,0.3858273499441566,0.0702357709017143,0.023635239645955153,0.009410726522043245,0.16341188319929642,0.03738295020330434,,,,,,,,,,,,,,,,,0.3858273499441566,0.0702357709017143,0.3858249789496767,0.07023578146750736,2.3709944798611104e-06,8.211209200752779e-07,0.5728744727894082,0.07702397722113069,,,,,,,,,,,,,0.2529226019483758,0.0316509351670849,0.13147571449517273,0.05660821105232453,0.0014266625061281958,0.001442531441413222
0.05,Random Projection,0.23425030425132717,0.0706815061751201,0.023635239645955153,0.009410726522043245,0.1486564313483541,0.045183222212136574,7.590214954689145e-05,1.7484659208753072e-05,0.006202589596796315,0.0030255336746942037,0.0005109395031468011,0.00046775279386373445,0.0017641499449382535,0.0015988071412673956,0.0031855521447141655,0.0016744851823147233,0.00010025634983321652,3.3633999919436836e-05,1.6243848949670792e-05,7.151953749820558e-06,0.22238939170201774,0.0708491448340271,0.23425030425132717,0.0706815061751201,0.23424502523994306,0.07068094156461666,5.279011384118349e-06,1.7667242239638736e-06,0.4065419752456364,0.07476948578219808,,,,,,,,,,,,,,,,,,
0.05,Random Sampling,0.2552233791007893,0.06313015458543468,0.023635239645955153,0.009410726522043245,0.19367088965082074,0.11193113196809772,,,,,,,,,,,,,,,,,0.2552233791007893,0.06313015458543468,0.25521636889752697,0.06312961112544307,7.010203262325376e-06,1.1197988653945167e-06,0.47252950839756525,0.1536340097348388,0.008872724998218473,0.0022009134293855723,0.014128664501185995,0.0033636465513453813,0.055316016648430374,0.015586494998295036,0.0021833000442711636,0.0013764387388109326,0.0035548959043808282,0.001782629748095317,0.17116076680104014,0.05899758787713223,,,,,,
0.1,Non-random,0.31310546260210687,0.04754589443925748,0.021176058398850728,0.004766539507993282,0.14598970430524788,0.03349039822315481,,,,,,,,,,,,,,,,,0.31310546260210687,0.04754589443925748,0.313103153850534,0.04754606923695013,2.308751572854817e-06,1.9811350913503403e-06,0.4802712253062055,0.06635792655948898,,,,,,,,,,,,,0.237444251945999,0.03478897594658749,0.07474107280140743,0.0360300413706598,0.0009178291031275876,0.00019912032471039112
0.1,Random Projection,0.11189025624626084,0.03495638532626914,0.021176058398850728,0.004766539507993282,0.13869102705066325,0.03162004518261124,8.571664220653474e-05,2.9068847387056547e-05,0.006427887403697241,0.0023000237587366464,0.0008656102989334613,0.0011621837386632575,0.0014960334534407592,0.0013414153801507127,0.00301428764796583,0.0018230486429631747,9.115215361816808e-05,2.822098275801645e-05,1.4533294597640634e-05,6.268728056572889e-06,0.09988996660249541,0.03534055262640031,0.11189025624626084,0.03495638532626914,0.11188518749695504,0.03495662649452624,5.068749305792153e-06,1.121932436430788e-06,0.2717573416957748,0.052427000540255286,,,,,,,,,,,,,,,,,,
0.1,Random Sampling,0.13976083339803153,0.031836148024422264,0.021176058398850728,0.004766539507993282,0.13754800840106327,0.02346934286051218,,,,,,,,,,,,,,,,,0.13976083339803153,0.031836148024422264,0.13975467704876793,0.03183621490682733,6.156349263619631e-06,1.1921105777365768e-06,0.29848490019794555,0.045169781305431145,0.008066772950405721,0.001894976253404754,0.013682645749941002,0.004733516601128896,0.028062824998050927,0.013880556383643489,0.0021911728996201417,0.0017408244771374573,0.002645172851043753,0.0015780964224508425,0.08510608759970636,0.02726773635563495,,,,,,
0.15,Non-random,0.32459865850250935,0.05690373240422257,0.021405587653862312,0.005539697835230431,0.1587146770034451,0.0369292323629186,,,,,,,,,,,,,,,,,0.32459865850250935,0.05690373240422257,0.3245968353498029,0.0569036388427932,1.8231527064926923e-06,3.771459180444387e-07,0.5047189231598168,0.08815818254354259,,,,,,,,,,,,,0.2526747604031698,0.0330915222814396,0.07097050824813778,0.03241063592067345,0.0009515666984952986,0.00022482211775700929
0.15,Random Projection,0.09214048550347798,0.03044871620466276,0.021405587653862312,0.005539697835230431,0.13992128124809824,0.029014921372603662,8.397499768761918e-05,4.742264337775655e-05,0.005787337500078138,0.0026431447070826798,0.0006412999500753358,0.0009225881355364588,0.0021381334474426692,0.0021366329535471994,0.003316895898024086,0.0017149598797675534,9.430214995518327e-05,3.4458538266683356e-05,1.5464596799574792e-05,8.509007853639284e-06,0.08005791260075057,0.029767975378699837,0.09214048550347798,0.03044871620466276,0.09213532114081317,0.030448691151564147,5.164362664800137e-06,1.427639699558394e-06,0.25346735440543855,0.0514084181868997,,,,,,,,,,,,,,,,,,
0.15,Random Sampling,0.13159363550221315,0.031074325751479615,0.021405587653862312,0.005539697835230431,0.13541105424374109,0.01614896805053789,,,,,,,,,,,,,,,,,0.13159363550221315,0.031074325751479615,0.13158713549637469,0.031074299408145135,6.50000583846122e-06,8.56214473570745e-07,0.28841027739981656,0.03596951815075386,0.008357333250751253,0.003228667697507181,0.012186237548303325,0.004042797086147526,0.021835977101000027,0.006943758326563724,0.0026969583486788906,0.001756909478116789,0.002768047997960821,0.0014580017461352547,0.08374258124968037,0.027733093578766216,,,,,,
0.2,Non-random,0.30167364585213363,0.03895500861594263,0.02159894995565992,0.005997679715734275,0.14595817495137453,0.022783933404334208,,,,,,,,,,,,,,,,,0.30167364585213363,0.03895500861594263,0.30167170430067924,0.03895525828044742,1.9415514543652534e-06,5.731252954647796e-07,0.4692307707591681,0.05789996773786244,,,,,,,,,,,,,0.23676048960041954,0.020262376083555734,0.06370078339823522,0.02827877074856155,0.0012104313020245173,0.0007453616773227035
0.2,Random Projection,0.0799625186555204,0.026167714111108072,0.02159894995565992,0.005997679715734275,0.13662152090400922,0.024555809701674074,8.093554934021085e-05,2.8569152872417396e-05,0.0059729458502260965,0.0024165715709255956,0.0005501729465322569,0.0007203280791965821,0.001296972950513009,0.0013761514173788157,0.0028166792006231846,0.0018036865088867959,9.386039746459574e-05,3.025668417138989e-05,1.5337397053372114e-05,6.0706622280897075e-06,0.06913082295068307,0.025297149215411596,0.0799625186555204,0.026167714111108072,0.0799577272424358,0.026167611516755764,4.791413084603846e-06,1.0086711985802033e-06,0.23818298951518954,0.043544000875298444,,,,,,,,,,,,,,,,,,
0.2,Random Sampling,0.14171422490035185,0.04055632871069332,0.02159894995565992,0.005997679715734275,0.13298129375325515,0.01794582886579144,,,,,,,,,,,,,,,,,0.14171422490035185,0.04055632871069332,0.1417081894542207,0.04055630789576944,6.0354461311362685e-06,1.0779250762966832e-06,0.2962944686092669,0.04925222607437049,0.00993458124139579,0.003419307518995302,0.013986747853050475,0.0028556157261735845,0.016774472952238283,0.003489591593881272,0.0026318603515392168,0.0015899675985111825,0.0025435709540033713,0.0013304648927745593,0.09583695610199357,0.038315097989539144,,,,,,
