alpha_n,rep,method,error_P,error_Theta,error_B,time_sec,instance_gen_sec,metric_eval_sec,rp_draw_omega_sec,rp_power_iter_sec,rp_qr_sec,rp_build_core_sec,rp_reconstruct_sec,rp_small_eig_sec,rp_lift_sec,rp_kmeans_sec,algo_total_sec,algo_step_sum_sec,algo_other_sec,pipeline_total_sec,rs_sample_mask_sec,rs_build_sampled_matrix_sec,rs_eig_sec,rs_reconstruct_sec,rs_symmetrize_sec,rs_kmeans_sec,nr_eig_sec,nr_kmeans_sec,nr_copy_sec
0.05,1,Random Projection,9.022883847567496,1.2135416666666667,0.009828861000000563,1.4832611000165343,0.025660400046035647,0.11014260002411902,0.00012189988046884537,0.0020111999474465847,0.00039379997178912163,0.0004284000024199486,0.00108780013397336,0.00012360000982880592,1.619989052414894e-05,1.4790707000065595,1.4832611000165343,1.4832535998430103,7.500173524022102e-06,1.619064100086689,,,,,,,,,
0.05,1,Random Sampling,13.010919611124145,0.8567708333333333,0.003992944611957108,0.1132366000674665,0.025660400046035647,0.10344329988583922,,,,,,,,,0.1132366000674665,0.11322459997609258,1.200009137392044e-05,0.24234029999934137,0.007524800021201372,0.021230699960142374,0.02092469995841384,0.0014349000994116068,0.011697500012814999,0.050411999924108386,,,
0.05,1,Non-random,12.229043613837455,0.36718749999999994,0.0025103450725487073,0.20317730004899204,0.025660400046035647,0.10926349996589124,,,,,,,,,0.20317730004899204,0.20317370002157986,3.600027412176132e-06,0.3381012000609189,,,,,,,0.16211319994181395,0.03865360002964735,0.0024069000501185656
0.05,2,Random Projection,9.475793335531248,1.3333333333333335,0.011177145771466133,0.058098099892959,0.028671700041741133,0.10065279994159937,0.00012409989722073078,0.0023922999389469624,0.0003504001069813967,0.0010538999922573566,0.0012072001118212938,9.029987268149853e-05,1.6200123354792595e-05,0.05285579990595579,0.058098099892959,0.05809019994921982,7.899943739175797e-06,0.1874225998762995,,,,,,,,,
0.05,2,Random Sampling,13.2987693499223,0.7239583333333334,0.004104259903095195,0.11094990000128746,0.028671700041741133,0.10398030001670122,,,,,,,,,0.11094990000128746,0.11094029992818832,9.600073099136353e-06,0.24360190005972981,0.0072783001232892275,0.021857599960640073,0.023355599958449602,0.0014680000022053719,0.009995599975809455,0.046985199907794595,,,
0.05,2,Non-random,12.290083278522713,0.33333333333333337,0.0017546666666666613,0.20298369997180998,0.028671700041741133,0.11069400003179908,,,,,,,,,0.20298369997180998,0.2029804999474436,3.200024366378784e-06,0.3423494000453502,,,,,,,0.15879100002348423,0.04205720010213554,0.0021322998218238354
0.05,3,Random Projection,9.572194077398535,1.5651041666666665,0.013084468943424694,0.05433920002542436,0.029713099822402,0.12168100010603666,0.00013820012100040913,0.002901799976825714,0.0003512999974191189,0.0023769999388605356,0.0014436000492423773,0.00010730000212788582,1.650000922381878e-05,0.046994199976325035,0.05433920002542436,0.054329900071024895,9.299954399466515e-06,0.20573329995386302,,,,,,,,,
0.05,3,Random Sampling,12.567506382948622,0.6901041666666666,0.0023434806497185934,0.10377399995923042,0.029713099822402,0.1130737999919802,,,,,,,,,0.10377399995923042,0.10376640013419092,7.5998250395059586e-06,0.24656089977361262,0.008221600204706192,0.019656699849292636,0.022125599905848503,0.001286500133574009,0.008712599985301495,0.04376340005546808,,,
0.05,3,Non-random,12.232541681168428,0.3697916666666667,0.0017600531336795025,0.1992928001563996,0.029713099822402,0.11756719998084009,,,,,,,,,0.1992928001563996,0.1992900997865945,2.70036980509758e-06,0.3465730999596417,,,,,,,0.15717789996415377,0.04000669997185469,0.0021054998505860567
0.05,4,Random Projection,9.269252730833877,1.3020833333333335,0.013565215402894827,0.05669320002198219,0.028385900193825364,0.20065229991450906,0.00012409989722073078,0.002425400074571371,0.00033840001560747623,0.0036096000112593174,0.0017073999624699354,0.00012200023047626019,1.610000617802143e-05,0.04834330012090504,0.05669320002198219,0.056686300318688154,6.899703294038773e-06,0.2857314001303166,,,,,,,,,
0.05,4,Random Sampling,12.369783487068846,0.6276041666666667,0.005236144087784091,0.10081989993341267,0.028385900193825364,0.09931169985793531,,,,,,,,,0.10081989993341267,0.10081389965489507,6.000278517603874e-06,0.22851749998517334,0.008412800030782819,0.02027860004454851,0.01765919988974929,0.0014362998772412539,0.009376399917528033,0.04365059989504516,,,
0.05,4,Non-random,12.161166102392025,0.359375,0.0019715555555555597,0.20598459988832474,0.028385900193825364,0.10660440009087324,,,,,,,,,0.20598459988832474,0.2059822001028806,2.3997854441404343e-06,0.34097490017302334,,,,,,,0.16182009992189705,0.04259310010820627,0.0015690000727772713
0.05,5,Random Projection,9.53995315186188,1.6432291666666665,0.01267053663293239,0.0473772999830544,0.027909999946132302,0.0968603000510484,0.00012390012852847576,0.0022813999094069004,0.00034220004454255104,0.00038860016502439976,0.0011549999471753836,8.390005677938461e-05,1.5399884432554245e-05,0.0429816001560539,0.0473772999830544,0.04737200029194355,5.2996911108493805e-06,0.1721475999802351,,,,,,,,,
0.05,5,Random Sampling,13.311917059152929,0.8932291666666667,0.0036760701263313655,0.10784429986961186,0.027909999946132302,0.10651730000972748,,,,,,,,,0.10784429986961186,0.10783769958652556,6.600283086299896e-06,0.24227159982547164,0.00716619985178113,0.020596700021997094,0.0220442998688668,0.0014275999274104834,0.009426699951291084,0.047176199965178967,,,
0.05,5,Non-random,12.303963475657728,0.41145833333333337,0.0009735877831687882,0.7492923999670893,0.027909999946132302,0.11204880010336637,,,,,,,,,0.7492923999670893,0.7492897999472916,2.600019797682762e-06,0.889251200016588,,,,,,,0.7017781999893486,0.044949600007385015,0.002561999950557947
0.05,6,Random Projection,8.49122416906816,0.9635416666666667,0.010361428780935544,0.05903030000627041,0.028681099880486727,0.14792180014774203,0.00015030009672045708,0.0023366999812424183,0.0003378000110387802,0.0003519000019878149,0.001249099848791957,8.110003545880318e-05,1.5199882909655571e-05,0.0545010999776423,0.05903030000627041,0.059023199835792184,7.100170478224754e-06,0.23563320003449917,,,,,,,,,
0.05,6,Random Sampling,13.07884702968532,0.7604166666666667,0.0035966886774726134,0.10407730005681515,0.028681099880486727,0.11112080002203584,,,,,,,,,0.10407730005681515,0.10406889976002276,8.400296792387962e-06,0.2438791999593377,0.009024499915540218,0.02008899999782443,0.01767809991724789,0.0014484000857919455,0.00929829990491271,0.046530599938705564,,,
0.05,6,Non-random,12.258044058716017,0.41666666666666663,0.0020493096168312797,0.23282819986343384,0.028681099880486727,0.1731058000586927,,,,,,,,,0.23282819986343384,0.23282559984363616,2.600019797682762e-06,0.43461509980261326,,,,,,,0.18447330011986196,0.04613429983146489,0.002217999892309308
0.05,7,Random Projection,8.7843867591009,1.1380208333333333,0.012444477837084744,0.06292210007086396,0.03415279998444021,0.1318693000357598,0.00015030009672045708,0.0024580000899732113,0.0003766000736504793,0.004969100002199411,0.0013485001400113106,0.00011319993063807487,2.140016295015812e-05,0.053476199973374605,0.06292210007086396,0.06291330046951771,8.799601346254349e-06,0.22894420009106398,,,,,,,,,
0.05,7,Random Sampling,12.792662217824075,0.6822916666666667,0.004525088193398162,0.10057939984835684,0.03415279998444021,0.12711200001649559,,,,,,,,,0.10057939984835684,0.1005723001435399,7.099704816937447e-06,0.26184419984929264,0.007687399862334132,0.01924300007522106,0.017942100064828992,0.001344999996945262,0.009035400114953518,0.04531940002925694,,,
0.05,7,Non-random,12.33016436430657,0.2942708333333333,0.0022863403944484995,0.22456620004959404,0.03415279998444021,0.11114209983497858,,,,,,,,,0.22456620004959404,0.22456400003284216,2.200016751885414e-06,0.36986109986901283,,,,,,,0.17604329995810986,0.04607929987832904,0.002441400196403265
0.05,8,Random Projection,8.754419346504585,1.1744791666666667,0.010694857263152328,0.0578205999918282,0.025147899985313416,0.10499799996614456,0.00015089986845850945,0.0024935000110417604,0.0003326998557895422,0.00038590002804994583,0.001142200082540512,8.570007048547268e-05,1.6200123354792595e-05,0.0532082999125123,0.0578205999918282,0.05781539995223284,5.200039595365524e-06,0.18796649994328618,,,,,,,,,
0.05,8,Random Sampling,13.339940781423396,0.8828125,0.005136834967076051,0.10830110008828342,0.025147899985313416,0.11393249989487231,,,,,,,,,0.10830110008828342,0.10829430026933551,6.7998189479112625e-06,0.24738149996846914,0.007049000123515725,0.01948180003091693,0.020632300060242414,0.001390600111335516,0.009649500017985702,0.05009109992533922,,,
0.05,8,Non-random,12.327014935190602,0.42708333333333337,0.0023537894568178216,0.7599686998873949,0.025147899985313416,0.1397730999160558,,,,,,,,,0.7599686998873949,0.7599658002145588,2.8996728360652924e-06,0.9248896997887641,,,,,,,0.7032665000297129,0.055230600060895085,0.001468700123950839
0.05,9,Random Projection,9.095274196940949,1.2526041666666667,0.011491710204328001,0.07601040019653738,0.023596500046551228,0.12158189993351698,0.00013320008292794228,0.002812500111758709,0.00045039993710815907,0.0190932999830693,0.0011140999849885702,0.00015970016829669476,2.350006252527237e-05,0.052212700014933944,0.07601040019653738,0.07599940034560859,1.0999850928783417e-05,0.22118880017660558,,,,,,,,,
0.05,9,Random Sampling,12.885297533432368,0.7630208333333334,0.003975459010058337,0.09525570017285645,0.023596500046551228,0.09746679989621043,,,,,,,,,0.09525570017285645,0.09524759976193309,8.100410923361778e-06,0.2163190001156181,0.006515099899843335,0.01652419986203313,0.02058380004018545,0.0012181000784039497,0.006607200019061565,0.04379919986240566,,,
0.05,9,Non-random,12.161235199765162,0.3333333333333333,0.0007000000000000062,0.3556832999456674,0.023596500046551228,0.10840269993059337,,,,,,,,,0.3556832999456674,0.3556812999304384,2.00001522898674e-06,0.487682499922812,,,,,,,0.31002580001950264,0.04410279984585941,0.0015527000650763512
0.05,10,Random Projection,8.895062135434982,1.2994791666666665,0.010613997391180567,0.06970810005441308,0.023160099983215332,0.09854459995403886,0.0001509999856352806,0.0024765999987721443,0.0003287999425083399,0.00034600007347762585,0.0008535999804735184,8.450006134808064e-05,1.5999889001250267e-05,0.06544460006989539,0.06970810005441308,0.06970110000111163,7.00005330145359e-06,0.19141279999166727,,,,,,,,,
0.05,10,Random Sampling,12.96514830666616,0.765625,0.004710139084068338,0.09429259994067252,0.023160099983215332,0.1700711001176387,,,,,,,,,0.09429259994067252,0.09428449999541044,8.09994526207447e-06,0.28752380004152656,0.0060165999457240105,0.013685100013390183,0.02165660005994141,0.0010361999738961458,0.006454899907112122,0.04543510009534657,,,
0.05,10,Non-random,12.307105975862775,0.39322916666666674,0.0010777020246165447,0.23382989992387593,0.023160099983215332,0.11165410000830889,,,,,,,,,0.23382989992387593,0.2338273001369089,2.5997869670391083e-06,0.36864409991540015,,,,,,,0.186479999916628,0.045753300189971924,0.0015940000303089619
0.05,11,Random Projection,9.192787552662217,1.171875,0.011645270849720807,0.1297470999415964,0.026942499913275242,0.10607710015028715,0.0001472998410463333,0.0025939999613910913,0.000386600149795413,0.0680593999568373,0.0011222001630812883,0.00020579993724822998,3.50000336766243e-05,0.0571857001632452,0.1297470999415964,0.12973600020632148,1.1099735274910927e-05,0.2627667000051588,,,,,,,,,
0.05,11,Random Sampling,13.258617314708582,0.9375,0.004335785207924221,0.10150000010617077,0.026942499913275242,0.10225370014086366,,,,,,,,,0.10150000010617077,0.10149080003611743,9.200070053339005e-06,0.23069620016030967,0.00598430004902184,0.014550399966537952,0.023566299816593528,0.0011862001847475767,0.006251299986615777,0.04995230003260076,,,
0.05,11,Non-random,12.312202881331839,0.4296875,0.0021375000000000005,0.22080869995988905,0.026942499913275242,0.11487600021064281,,,,,,,,,0.22080869995988905,0.22080589970573783,2.80025415122509e-06,0.3626272000838071,,,,,,,0.17139419983141124,0.04791059996932745,0.001501099904999137
0.05,12,Random Projection,9.256605338672532,1.4869791666666665,0.011502575777606591,0.057775599882006645,0.025263899937272072,0.10262109991163015,0.00012500002048909664,0.001977300038561225,0.00036230008117854595,0.001226099906489253,0.000820700079202652,9.17001161724329e-05,1.5399884432554245e-05,0.05315129994414747,0.057775599882006645,0.05776980007067323,5.7998113334178925e-06,0.18566059973090887,,,,,,,,,
0.05,12,Random Sampling,13.253456065033305,0.7109375,0.0048913997986632304,0.0935873999260366,0.025263899937272072,0.15736560011282563,,,,,,,,,0.0935873999260366,0.09357869997620583,8.699949830770493e-06,0.2762168999761343,0.005465599941089749,0.015566299902275205,0.017661700025200844,0.0008855999913066626,0.0057721000630408525,0.04822740005329251,,,
0.05,12,Non-random,12.151542872645791,0.4192708333333333,0.0025444392687289027,0.2188030001707375,0.025263899937272072,0.11237729992717505,,,,,,,,,0.2188030001707375,0.2188003002665937,2.6999041438102722e-06,0.3564442000351846,,,,,,,0.17167400009930134,0.04554500011727214,0.001581300050020218
0.05,13,Random Projection,9.565559825640113,1.6145833333333335,0.013486312912803389,0.05956379999406636,0.023359700106084347,0.10053269984200597,0.00013200007379055023,0.00256159994751215,0.0003991001285612583,0.0004483000375330448,0.0008584000170230865,9.130011312663555e-05,1.6300007700920105e-05,0.05504989996552467,0.05956379999406636,0.05955690029077232,6.899703294038773e-06,0.18345619994215667,,,,,,,,,
0.05,13,Random Sampling,12.603434176848232,0.6380208333333334,0.003253117471623053,0.11928360001184046,0.023359700106084347,0.1241665999405086,,,,,,,,,0.11928360001184046,0.11927479994483292,8.800067007541656e-06,0.2668099000584334,0.00526150013320148,0.014982599997892976,0.019194399937987328,0.0010714998934417963,0.006427899934351444,0.0723369000479579,,,
0.05,13,Non-random,12.105928015323247,0.3333333333333333,0.0029054178994082844,0.2089669001288712,0.023359700106084347,0.18656979990191758,,,,,,,,,0.2089669001288712,0.2089644002262503,2.499902620911598e-06,0.4188964001368731,,,,,,,0.16176740010268986,0.04566310020163655,0.0015338999219238758
0.05,14,Random Projection,8.762171620297464,1.0833333333333335,0.011395505376993222,0.09133210009895265,0.022638299968093634,0.09979420015588403,0.00014700018800795078,0.0025903000496327877,0.0004141000099480152,0.031124999979510903,0.0012523999903351068,0.00012349989265203476,1.610000617802143e-05,0.055653100134804845,0.09133210009895265,0.09132150025106966,1.0599847882986069e-05,0.2137646002229303,,,,,,,,,
0.05,14,Random Sampling,12.670296386731442,0.6953125,0.004773584262436147,0.08985510002821684,0.022638299968093634,0.09700529999099672,,,,,,,,,0.08985510002821684,0.08984810020774603,6.9998204708099365e-06,0.2094986999873072,0.005523100029677153,0.013904300052672625,0.01876890007406473,0.0008425000123679638,0.005800700047984719,0.04500859999097884,,,
0.05,14,Non-random,12.14641224372223,0.3463541666666667,0.0008424088752624556,0.3958101999014616,0.022638299968093634,0.10837589995935559,,,,,,,,,0.3958101999014616,0.39580729976296425,2.9001384973526e-06,0.5268243998289108,,,,,,,0.347334599820897,0.046889099990949035,0.0015835999511182308
0.05,15,Random Projection,9.720264699610563,1.5260416666666667,0.012581079220035027,0.0715372001286596,0.024334499845281243,0.14865420013666153,0.00015949993394315243,0.002167999977245927,0.00036720000207424164,0.0003637999761849642,0.0008316999301314354,7.910002022981644e-05,1.5800120308995247e-05,0.06754550011828542,0.0715372001286596,0.07153060007840395,6.600050255656242e-06,0.24452590011060238,,,,,,,,,
0.05,15,Random Sampling,13.227011686489515,0.7916666666666667,0.0035808492447414533,0.10939479991793633,0.024334499845281243,0.09861629991792142,,,,,,,,,0.10939479991793633,0.10938429995439947,1.0499963536858559e-05,0.232345599681139,0.007859600009396672,0.01780909998342395,0.023419699864462018,0.0009657000191509724,0.00853720004670322,0.050793000031262636,,,
0.05,15,Non-random,12.3822966945089,0.31770833333333337,0.001819398500037879,0.2430654999334365,0.024334499845281243,0.25195989990606904,,,,,,,,,0.2430654999334365,0.24306240025907755,3.0996743589639664e-06,0.5193598996847868,,,,,,,0.19531420012935996,0.046148700173944235,0.0015994999557733536
0.05,16,Random Projection,9.36470674319681,1.3359375,0.012352368826319786,0.06568679981864989,0.02537270006723702,0.10818820004351437,0.00013040006160736084,0.0025013999547809362,0.0003969001118093729,0.0014493002090603113,0.001285600010305643,0.00013939989730715752,2.2600172087550163e-05,0.05975280003622174,0.06568679981864989,0.06567840045318007,8.399365469813347e-06,0.19924769992940128,,,,,,,,,
0.05,16,Random Sampling,13.351410471846792,0.8385416666666667,0.003532694656962543,0.09857020014896989,0.02537270006723702,0.15490159997716546,,,,,,,,,0.09857020014896989,0.0985615998506546,8.600298315286636e-06,0.27884450019337237,0.005072700092568994,0.015670200111344457,0.02430959977209568,0.001505000051110983,0.0056841999758034945,0.046319899847730994,,,
0.05,16,Non-random,12.36433333055565,0.4427083333333333,0.0020357385954361956,0.24977690004743636,0.02537270006723702,0.13190900022163987,,,,,,,,,0.24977690004743636,0.2497743999119848,2.500135451555252e-06,0.40705860033631325,,,,,,,0.20384269999340177,0.04439659998752177,0.0015350999310612679
0.05,17,Random Projection,8.995555532654397,1.15625,0.011026588115139617,0.06284060003235936,0.022647699806839228,0.17564200004562736,0.00012949993833899498,0.00204630009829998,0.00035099987871944904,0.0005578999407589436,0.0008620000444352627,0.00011230004020035267,1.6799895092844963e-05,0.0587593000382185,0.06284060003235936,0.06283509987406433,5.500158295035362e-06,0.26113029988482594,,,,,,,,,
0.05,17,Random Sampling,13.13218038197469,0.7031249999999999,0.004801193239579796,0.0996301001869142,0.022647699806839228,0.10704380017705262,,,,,,,,,0.0996301001869142,0.09962110011838377,9.00006853044033e-06,0.22932160017080605,0.0065384001936763525,0.017232599901035428,0.02151699992828071,0.0008073998615145683,0.006302700145170093,0.04722300008870661,,,
0.05,17,Non-random,12.278029899498415,0.390625,0.0024431397928994097,0.4211440000217408,0.022647699806839228,0.1074552999343723,,,,,,,,,0.4211440000217408,0.4211410996504128,2.900371327996254e-06,0.5512469997629523,,,,,,,0.37401849986054003,0.04554759990423918,0.0015749998856335878
0.05,18,Random Projection,8.537207109431534,1.0911458333333335,0.010583754735237226,0.07151670008897781,0.021817100001499057,0.10071559995412827,0.00015610014088451862,0.0028345000464469194,0.0004047001712024212,0.017784300027415156,0.001168699935078621,0.00012960005551576614,1.6799895092844963e-05,0.049009500071406364,0.07151670008897781,0.07150420034304261,1.2499745935201645e-05,0.19404940004460514,,,,,,,,,
0.05,18,Random Sampling,12.849554537092423,0.7317708333333334,0.004963761800253104,0.09223000006750226,0.021817100001499057,0.10439120000228286,,,,,,,,,0.09223000006750226,0.09222280001267791,7.200054824352264e-06,0.21843830007128417,0.00508629996329546,0.015216600149869919,0.017550700111314654,0.0008592999074608088,0.005578099982813001,0.047931799897924066,,,
0.05,18,Non-random,12.142038617733201,0.3854166666666667,0.00405212742258855,0.21731100021861494,0.021817100001499057,0.10449669999070466,,,,,,,,,0.21731100021861494,0.2173087999690324,2.200249582529068e-06,0.34362480021081865,,,,,,,0.17140230000950396,0.04432779992930591,0.0015787000302225351
0.05,19,Random Projection,9.263532714723885,1.640625,0.010329780953801687,0.06615089997649193,0.021289899945259094,0.15952909993939102,0.00016189995221793652,0.002374500036239624,0.00037729996256530285,0.0005087999161332846,0.001283199992030859,9.400001727044582e-05,1.6799895092844963e-05,0.061326100025326014,0.06615089997649193,0.06614259979687631,8.300179615616798e-06,0.24696989986114204,,,,,,,,,
0.05,19,Random Sampling,12.520277348189406,0.640625,0.00213605558554069,0.10194639977999032,0.021289899945259094,0.09850180009379983,,,,,,,,,0.10194639977999032,0.10193620016798377,1.0199612006545067e-05,0.22173809981904924,0.0070911000948399305,0.01650769985280931,0.022976299980655313,0.0013896001037210226,0.0071455000434070826,0.04682600009255111,,,
0.05,19,Non-random,12.154859738129487,0.3828125,0.0009950328473001119,0.2343768000137061,0.021289899945259094,0.18544439994730055,,,,,,,,,0.2343768000137061,0.2343743999954313,2.400018274784088e-06,0.44111109990626574,,,,,,,0.1880527997855097,0.044792900094762444,0.001528700115159154
0.05,20,Random Projection,9.381124628954307,1.2395833333333335,0.013142158449819558,0.07409879984334111,0.023510399973019958,0.11118660005740821,0.00016149994917213917,0.0028643999248743057,0.0003801998682320118,0.010117599973455071,0.000780200120061636,0.00010609999299049377,1.550000160932541e-05,0.05966479983180761,0.07409879984334111,0.0740902996622026,8.500181138515472e-06,0.20879579987376928,,,,,,,,,
